Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,Cybersecurity Responsibility,Cyber Initiatives,cyber,Cloud Solutions Responsibility,Cloud Initiatives,cloud,Digital Responsibility,Digital Initiatives,digital,Data Management Responsibility,Data Management Initiatives,data,Software / Application Development Responsibility,Development Initiatives,software,Communication Systems Responsibility,Communication Initiatives,communication,Network Systems Responsibility,Network Initiatives,network,Consulting / Outsourcing Responsibility,Consulting Initiatives,consulting,"IT Leadership, Talent Management and Training Responsibility",Leadership Initiatives,IT,Cybersecurity Solutions,Which Cloud Solutions,Digital Solutions,Data Management Solutions,Software / Application Development Solutions,Communication Systems Solutions,Network Systems Solutions,Consulting / Outsourcing Solutions,"IT Leadership, Talent Management and Training Solutions",Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount
SWIFT Inc,Head of Engineering,swift.com,"VA
",100M,"Banking / Finance
",Messaging services for financial institutions,"1000-5000 employees
","$500M-$1B
",5,NO,NO,NO,NO,NO,"AWS
",no,NO,no,yes,yes,figure out how to scale our footprint to the cloud. e.g. to use cloud as an extra capacity. ability to compare cost on-prem vs in the cloud to identify the cloud migration strategy,no,NO,no,no,NO,no,yes,NO,mainly looking for software compliance and application lifecycle management,no,NO,no,yes,yes,migration to cisco aci and implementing netdevops within swift,yes,yes,ability to find the right partner to help with our challenges and solutions.,yes,yes,up skill our team members and figure out the right training paths based on the technology domains,0," Backup/Disaster Recovery Cloud Migration Services Dev-Ops, Help Desk IT Service Management (ITSM) Storage, Virtual Machines, Virtualization",",",0,", Application Lifecycle Management, Automation Testing Software DevOps, Open Source, Outsourced Consulting Software Compliance,",",",", Data Center Networking Network Connectivity"," Cloud Enablement, Database Modernization, IT Service Management (ITSM) Software / Application Development, Staffing / Recruiting, Technology Lifecycle Management, Vendor Evaluations",", IT Asset Management, IT Certificates IT Training Software for staff : Software, IT Training Software for staff : IT Operations, Leadership coaching Staffing - Permanent to hire IT staffing Staffing - Staff Retention, Team Efficiency and Effectiveness Training, Workload Prioritization/ Employee Burnout Prevention",Summer 22,2,1,0,4,7
Sansum Clinic,CISO,sansumclinic.org,"CA
",28000000,"Healthcare / Hospital
","We offer the entire spectrum of ambulatory services, primary care, and numerous other patient care services.","1000-5000 employees
","$250M-$500M
",26,70,5,NO,NO,Oracle,"Hybrid
",yes,yes,"1) iam in a multi-cloud and on-premise scenario - need one system of truth for authentication across all platforms_x000d_
2) pam for third-party vendor access and internal lock down of administrative access_x000d_
3) email / cloud security for google workspace stretching back into our on-premise environment and tooling",yes,yes,"1) saas management - need visibility into the saas offering i consume for better alerting / monitoring_x000d_
2) mobile device management - need something that is powerful to mitigate security concerns at a moments' notice to isolate or wipe_x000d_
3) virtualization - vmware acquisition has deeply embedded concerns for product line viability, support, and third-party vulnerability management",no,NO,no,yes,no,1) mobile device management - need something that is powerful to mitigate security concerns at a moments' notice to isolate or wipe,no,NO,no,no,NO,no,yes,no,1) further network segmentation - not ready for micro-segmentation but heading toward a more purposeful segmentation of the network,yes,NO,this will vary based upon changes in the organizational strategy with a new cio.,yes,no,my top challenge is the translation of it acronyms and concepts to business speak for my executive team.," Application Security - Vulnerability Assessment, Cloud Security Email Security, Identity & Access Management Zerotrust, Privileged Access Management,",", Mobility, SaaS Management, Virtualization",",",", Data Governance & MDM, Encryption",",",",",",",", Cloud Workload and Migration, Cybersecurity Services,",0,Summer 22,5,1,3,3,5
Santa Fe Christian Schools,CTO,sfcs.net,"CA
",1m,"Education
",Private K12 Education,"100-250 employees
","Less than $50M
",1,4,1,4,Windows/Mac,BlackBaud,"Google 
",yes,yes,"firewall replacement, change isp and possibly add managed services, implement end user phishing training",yes,yes,replace lab computers with vdi or cloud-based apps for adobe suite of products ,no,NO,no,no,NO,no,no,NO,no,yes,yes,replace aging voip system thru isp with modern cloud based system,yes,no,network management of various vendors ,no,NO,no,yes,NO,train up and certify existing it staff,", Cloud Security, Disaster / Backup Recovery, Email Security, Endpoint detection & response (EDR), Multi-factor authentication, Zerotrust Managed Security Service Provider, Network Security - Firewall Phishing,"," Backup/Disaster Recovery Virtual Machines, Virtualization",",",0,","," Cloud based phone systems (VOIP) Unified Communications,",",",",",", IT Asset Management, IT Certificates, IT Training Software for staff : IT Operations,",Summer 22,3,1,1,4,5
Screenvision Media,VP of IT,screenvisionmedia.com,"NY
",20 million,"Media / Marketing / Advertising
",Advertising in cinemas and out-of-home.,"250-500 employees
","$250M-$500M
",5,9,1,0,Win11,Operative,"Azure
",yes,yes,identity management and cloud security,yes,yes,looking to mature our data and analytics offering in the cloud.  we currently use powerbi and some azure data factory services.,yes,yes,looking to automate data collection from multiple external sources.,yes,yes,looking to automate data collection from multiple external sources.,yes,no,looking to upgrade a legacy app to a low code azure app.,yes,no,upgrade 4 teams conf units.,yes,no,no plans on the networking side.,yes,NO,low code solution for a legacy dotnet app.,yes,yes,looking to get some cybersecurity training we can send out to our users.,", Cloud Security Security Awareness Computer-Based Training for end-users Email Security, Identity & Access Management Security Incident Response, Security Operations Center - SOC as a Service,",", Business Intelligence, SaaS Management,",", Workflow and Content Automation",", BI Dashboard & Reporting Data Quality Data Warehousing,"," Low Code Development Platform, Microsoft Stack",", BYOD Employee Cell Device Management, Unified Communications, Video Conferencing",", Data Center Networking Mobility Network Connectivity, SD-WAN, Switching, WIFI,",", Application Modernization",", IT Training Software for staff : Cybersecurity,",Summer 22,5,1,0,6,3
Tinsley Advertising,Director of Information Services,www.tinsley.com,FL,,Media & Internet,Full Service Advertising,0-50,$0-$50M,1,1,1,1,Mac OS 12.6,na,Other,Yes,Yes,after one of our owners witnessed a ransomware event at a client he wanted me to research every aspect that we can protect ourselves from.,Yes,Yes,"we are currently trying to migrate from the vpn-based workflow to a cloud-based server model.
 
 we are concerned that our fortinet cloud-based ems server will no longer protect us.",No,No,no,Yes,Yes,how to prevent data loss and corruption on equipment we do not manage.,No,No,no,Yes,Yes,we are considering a voip solution and we are wanting to extend our endpoint management to our byod.,Yes,Yes,we would like to streamline our data center and increase our overall d/r and security initiatives.,No,No,no,No,No,no,"Application Security - Vulnerability Assessment,Application Security and WAFCloud Security,Critical Event Management,Security Awareness Computer-Based Training for end-users,Data Loss Protection,Data Center Security,Data SecurityDisaster / Backup Recovery,Email Security,Employee monitoring & Insider Threat DetectionEndpoint detection & response (EDR),Extended Detection and Response (XDR),Endpoint preventionIdentity & Access Management,Multi-factor authentication,ZerotrustManaged Security Service ProviderMobile Security,Network Security - Firewall,Network Security - Intrusion Prevention Systems,Network Security - Monitoring & forensics,Network Security - Unified Threat Management,Outsourced Consulting,Penetration Testing and Simulation,Phishing,Physical Security - Surveillance and Access ControlRansomwareSecurity Incident ResponseSecurity Rating / Benchmarking,Third Party Cyber Risk Management,Threat Intelligence,User behavior monitoring,Web Security","Backup/Disaster Recovery,Business Intelligence,Cloud Migration Services,Co-locationIT Service Management (ITSM),Managed File Transfer,Storage",",",Backup/Disaster RecoveryData CleansingNetwork and application performance monitoringServer Storage,",",",BYOD Employee Cell Device Management,Cloud based phone systems (VOIP),Hosted PBXTelecom Expense Management,Unified Communications,Video Conferencing","Company IntranetHosting,Network ConnectivityRouting,SD-WAN,Switching,Team Collaboration Platform,",",",0,Fall 22,3,1,1,1,2
Signet Jewelers,Infrastructure Services,signetjewelers.com,"OH
",100M,"Retail
",Jewelry sales and repair.,"5000-10,000 employees
",$5B+,2000,300,15,700,Windows 10,Unknown,"AWS
",no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,yes,no,"complement cloud training that we currently added with appropriate on premise solutions as well.  we previously used pluralsight, but looking to coalesce on something to complement cloud academy or replace and become a one stop shop for our remote training needs.",0,",",",",0,",",",",",",","," IT Certificates, IT Training Software for staff : IT Operations,",Summer 22,1,1,0,2,2
Franklin County Municipal Court,IT Director,www.franklincountymunicourt.org,OH,,Government,"The Courtâ€™s jurisdiction includes traffic cases, misdemeanor criminal cases, and civil cases where the amount at issue is $15,000 or less.",250-500,$0-$50M,1,7,2,0,Windows 10 Enterprise,Ceridian,Azure,Yes,Yes,"email security, phishing training and prevention, endpoint monitoring, cloud application security.",Yes,No,cloud security and monitoring,No,No,no,Yes,Yes,data storage and management of long-term data storage requirements. looking at mdm options and expanding intune if possible.,Yes,Yes,we have several custom development projects currently in progress with a couple of more planned in the next year. also looking to leverage our microsoft investment.,Yes,Yes,"looking to replace legacy genesys system over the next 6 months, looking at solutions now. strongly considering cisco. looking at expanding video conferencing.",Yes,Yes,upgrading a number of legacy cisco switches and moving to a new fiber provider.,Yes,Yes,"temp it staffing, asset management and software development are all projects we have in the works.",Yes,Yes,training and coaching for staff.,",Cloud Security,Disaster / Backup Recovery,Email Security,Employee monitoring & Insider Threat DetectionEndpoint detection & response (EDR)Endpoint preventionMobile Security,Phishing,","Backup/Disaster Recovery,Help Desk,Virtual Machines,Virtualization",",","Backup/Disaster Recovery,Data Governance & MDM,Server Storage","APIs,Microsoft StackOutsourced Software / Application DevelopmentWeb","Enterprise Mobility ManagementUnified Communications,Video Conferencing",",Switching,WIFI,Wireless","APIsIT Service Management (ITSM)Software / Application Development,Staffing / RecruitingVendor Evaluations",",IT Training Software for staff : Cybersecurity,IT Training Software for staff : SoftwareLeadership coachingStaffing - Permanent to hire IT staffing",Fall 22,7,1,4,4,9
"Panda Restaurant Group, Inc.","Sr. Manager, IS Client Service",pandarg.com,"CA
",8000000,Travel / Hospitality / Recreation / Entertainment,We are nation's largest American Chinese quick service restaurant chain.,"10,000+ employees","$1B-$5B
",2300,70,4,50,Windows and Mac,Infor,"Azure
",yes,yes,protecting online guest account credentials,yes,yes,"iot business analytics computer vision and machine learning initiatives for restaurants. _x000d_
improve iot security posture protection customer identity for e-commerce.",yes,yes,"looking at development partner to help with various digital and ops initiatives. _x000d_
computer vision and machine learning initiatives for restaurants.",no,NO,no,no,NO,no,yes,yes,"look at new voip solutions for the stores._x000d_
look at alternative mtem vendors._x000d_
",yes,yes,"looking at 5g and improving wifi at the stores._x000d_
",yes,yes,looking at development partner to help with various digital and ops initiatives. computer vision and machine learning initiatives for restaurants.,no,NO,no,", Application Security and WAF Cloud Security Fraud Prevention / Transaction Security Mobile App Security,"," IoT, Mobility"," Artificial Intelligence & Machine Learning Digital Customer Experience Optimization, Digital Transformation",0,","," Cloud based phone systems (VOIP), Contact Center Optimization, Enterprise Mobility Management,",", Mobility Network Connectivity, WIFI, Wireless",", Application Modernization, Digital Transformation (Analytics, AI),",0,Summer 22,1,1,2,3,7
My Credit Union,CIO - CSO,mymncu.org,"MN
",4000000,"Banking / Finance
",Financial products,"50- 100 employees
","$250M-$500M
",5,7,2,7,"Windows, Linux",FiSwerv,"Hybrid
",yes,yes,more automation,yes,NO,bi and ai are the most critical,no,NO,no,yes,NO,business intelligence and bi dashboard & reporting,no,NO,no,yes,no,we just moved to a cloud based phone systems,yes,yes,looking at 5g at sites level,yes,no,looking at alternative to servicenow,yes,yes,"looking at training for staff : cybersecurity, operations"," Application Security - Vulnerability Assessment Critical Event Management Employee monitoring & Insider Threat Detection, Multi-factor authentication, Security Incident Response, SIEM,",", Business Intelligence Storage, Virtual Machines,",","," Backup/Disaster Recovery, BI Dashboard & Reporting, Big Data & Analytics, Business Intelligence Data Warehousing,",","," Enterprise Mobility Management, Telecom Expense Management",", Mobility Network Connectivity Wireless"," IT Service Management (ITSM) Technology Lifecycle Management,",", IT Training Software for staff : Cybersecurity IT Training Software for staff : IT Operations Team Efficiency and Effectiveness Training,",Summer 22,3,1,1,4,3
Millcreek Township School District,Director of Personnel,mtsd.org,PA,$500K - $800K,Education,World class K-12 education,500-1000 employees,$50M-$100M,12,6,1,0,"WIndows !0 Enterprise, MacOS, iOS, ChromeOS",PowerSchool,Azure,0,0,"next 3-6 months is planning not implementation. evaluation of current systems and their costs related to switching solutions. we have 3 separate systems for surveillance, access control, and security. no one fully trained on access control system due to retirement and replacement not in place for months after.
 
 
 
 looking at initiatives to implement mfa, but there is push back at end-user level.",0,0,"working on business continuity planning. microsoft 365 move was recent. looking at dr options for cloud content. 
 
 current help desk ticketing solution is still new but not sure if it is the right fit.",0,0,no,0,0,no,0,0,no,0,0,school board wants to decrease number of district cell phones. our new phone system offers softphones. many concerns are the rtk requests that could be made on personal device if used for work functions.,0,0,ap are getting long in the tooth. not sure if we want to stay aerohive after being bought by xtreme. will be looking at options in the coming months.,0,0,no,0,0,this is the first year we are promoting continuous learning from our staff. this is the first year it staff have been given opportunities for continuous learning and are required to complete 20 hrs per year.,0,0,0,0,0,0,0,0,0,Fall 21,4,1,3,2,2
