Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,cyber,cloud,digital,data,software,communication,network,consulting,IT,Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount,vendors_total_kcount
City of Kalamazoo,Data Manager,kalamazoocity.org,"MI
",$5M,"Government (state/local/federal)
",municipal services to residents,"500-1000 employees
","$100M-$250M
",15,15,1,2,Windows,Eden,"Azure
",no,moving workloads to the cloud and drive bi adoption across the organization.,no,implementing a bi solution and driving adoption across the organization,no,no,no,none are planned,"staff retention is an issue
recently employee leave recently, and need to fill the role and understanding that we are looking for and since we are in the public sector - currently looking to implement a dashboard tool",Summer 22,2,0,0,1,1,0
City of Prairie Village,Information Systems Manager,pvkansas.com,"KS
",250000,"Government (state/local/federal)
","Public safety, property maintenance and codes, building permits, Business and pet licenses, parks and recreation.","100-250 employees
","Less than $50M
",5,2,0,NO,NO,NO,"Azure
",currently our county manages our routing/switching & security.  we would like to adopt our own siem for event logging and management for better transparancy of our network and security.,"we are planning to get some sort of document management system in 2023.  we have received demo of laserfiche before and liked their product.  not sure what other competitors are out there or what cost would look like from different providers.

we currently use freshworks freshservice as our helpdesk ticketing system.  it was inherited from previous it personnel here and we are wanting to evaluate other products and compare to see what bets meets our needs going forward.  ",no,we have been considering for some time now between veeam and cohesity paired with wasabi cloud storage as a replacement to our 12 tb datto backup appliance which replicates to unlimited datto cloud storage and also provides cloud accessible hardware resources to spin up virtual servers in event of disaster recovery.  unfortunately if/when we replace datto we will loose that dr function and have to accommodate our own server and storage for dr use in alternate location or find a solution that includes dr or backup and dr as a service. ,no,"our mitel phone system is near end of life and our intentions are to use a local consultant company to evaluate our current system, needs and wants and they would write a rfp.   i've met with a few vendors in previously on this topic but i believe our administration would prefer to work with a local consultant in this area.",unlikely in 3-6 months but eventually more realistically 1-3 years from now we would like to expand on our existing nimble san so that it replicates to a secondary location as a backup and could serve as a fail over for production in event of dr.,no,"currently there are only 2 of us in the it department.  myself as information systems manager and 1 other person as information systems technical specialist.  we are in process of creating a 3rd position ""systems administrator"" and hopefully be able to hire a 3rd full time employee by end of this year.   depending on those changes we may promote within and hire from outside to fill the tech specialist position.  we currently subscribe to stormwind studios online training however we rarely ever find time for ourselves to continue or education.  we hope that changes after getting 3rd fte to lighten our workload.  ",Summer 22,8,3,3,4,6,2
City of San Marcos,CIO,san-marcos.net,"CA
",2.4,"Government (state/local/federal)
",Local Government Services,"250-500 employees
","Less than $50M
",10,4,4,NO,Windows,Tyler,"Azure
","siem/soc deployment
mobile security for hybrid workforce
data and data center security",migration to cloud services with security overlay,no,no,no,no,expanding network connectivity,no,no,Summer 22,5,0,1,1,1,0
Clarity Software Solutions,Chief Technology Officer,clarityssi.com,"CT
",10000000,"High Tech
",Healthcare insurance communications and member engagement,"1000-5000 employees
","$100M-$250M
",4,500,12,100,Amazon Linux L2 and MS Windows Server,NetSuite,"AWS
",web security and cloud security,devops automation and help desk,no,"data model, data dictionary and data governance",devops automation and automated regression testing,no,no,no,aws security training,Summer 22,4,0,0,5,5,0
Coastal States Bank,CIO,coastalstatesbank.com,"GA
",300000,"Banking / Finance
",Full Service banking / financial services,"250-500 employees
","$50M-$100M
",17,3,1,3,Windows ,Fiserv,"Azure
",we are looking to consolidate our various tools and view via a single pane of glass or siem.,need to evaluate moving all systems from colo to cloud in 2023 - 2024,no,improve performance and data classification,no,need to migrate from mitel in house to cloud telephone system,considering moving for fortinet devices at the edge for all locations.,telecom migration to cloud.  over all cyber security plan.,"need field support in atl, ga area.",Summer 22,3,2,2,3,3,2
"Coffman Engineers, Inc.","Chief Information Officer, VP",coffman.com,"WA
",150000,"Other
",Multi-Discipline Engineering Firm,"500-1000 employees
","$100M-$250M
",18,9,2,0,WIn 10,Microsoft,"Azure
",nothing right now but always looking at solutions that can enhance our security posture.,nothing right now,nothing right now,nothing right now,no,nothing right now,nothing right now,nothing right now,nothing right now,Summer 22,1,0,0,0,0,0
Cognizant,Chief Architect,cognizant.com,"NJ
",NO,"Professional Services
",IT Consulting Services,"10,000+ employees",$5B+,4,300,200,200,"Windows, Linux",SAP,"AWS
","customer data 
data privacy",migration and multi cloud ,"ai, ml and rpa",all of the above said ,all of the above said,no,no,all of the above said,no,Summer 22,0,0,0,7,5,0
Coherus BioSciences,VP of IT,coherus.com,"CA
",$2M,"Healthcare / Hospital
",Biosimilars,"250-500 employees
","$250M-$500M
",2,10,1,5,Win10,Oracle,"Oracle
",most intuitive and effective way to train end-users on policies and safe behavior.,none,none,none,none,none,none,none,none,Summer 22,0,0,0,1,2,0
Colby Sawyer College,Director of IT,colby-sawyer.edu,"NH
",100000,"Education
",We educate in the field of Nursing. ,"250-500 employees
","Less than $50M
",33,9,1,1,10,Ellucian,"Hybrid
",we need to continue working towards controls in reference to glba compliance. ,no,no,no,no,no,"re-work ospf, we have a single point of failure. ",we lack expertise in access to sql migrations. ,no,Summer 22,1,0,0,1,1,0
College of Western Idaho,CIO,cwi.edu,"ID
",$5M,"Education
",IT Application Services,"1000-5000 employees
","Less than $50M
",5,35,NO,5,Various,Ellucian,"Azure
",staying ahead of security threats wherever they emerge as the threats evolve in response to defensive protections,moving on-premise apps to the cloud. security - slas - data management - data ownership - unwinding providers,ai,data governance and reporting,none,no,remote infrastructure,documenting processes,none,Summer 22,2,1,0,3,2,0
Columbia Basin Hospital,IT Manager,columbiabasinhospital.org,"WA
",100000,"Healthcare / Hospital
",hospital clinic long term care emergency services,"100-250 employees
","Less than $50M
",1,3,3,5,10,SAGE,NO,patch management,no,no,new nas 2025,no,future proofing,switching refresh 2024,no,we currently dont do any other than attend seminars,Summer 22,0,0,0,0,0,0
Community Blood Center,"Director, Information Systems",communityblood.org,"WI
",$50K,"Healthcare / Hospital
",Red blood cells; Platelets & Plasma,"100-250 employees
","Less than $50M
",6,6,2,NO,Microsoft,NO,"AWS
","data loss protection, disaster  / backup recovery are top priorities. ",saas management and disaster recovery are top topics.,n/a - at this time nothing of high priority on roadmap.,"hot items are backup/disaster recovery, integration and access and encryption with a focus on hippa compliance.",n/a - at this time nothing of high priority on roadmap.,n/a - at this time nothing of high priority on roadmap.,targeting establishing a private cloud sd-wan environment to manage connectivity across multiple physical locations.,n/a - at this time nothing of high priority on roadmap.,n/a - at this time nothing of high priority on roadmap.,Summer 22,7,0,1,1,3,0
Constellis,"Director, Security Operations",constellis.com,"VA
",$20M,"Professional Services
",Government contractor for risk mitigation services and physical security.,"10,000+ employees","$1B-$5B
",33,50,16,5,Windows 10,Deltek,"Azure
",iam,no,no,no,no,no,no,no,training staff on cloud technologies.,Summer 22,1,0,0,2,2,0
ControlCase,AVP,controlcase.com,"AL
",100,"High Tech
",Compliance,"100-250 employees
","Less than $50M
",7,80,42,6,7,2,"AWS
",no,no,no,no,no,no,no,no,no,Summer 22,0,0,0,0,0,0
Credit Union of Colorado,IT Leader,cuofco.org,"CO
",100000,"Banking / Finance
",Banking solutions,"250-500 employees
","$50M-$100M
",20,30,3,150,W10,NO,"Azure
",no,plan to build colo space out and then add additional cloud ,no,no,boomi is used for our api development,migrating to webex calling for internal and five9 for cx,building a new corp space - looking to deploy cisco meraki wireless and switching,looking for good development with boomi and jack henry ease (symitar),need to get it asset management in check,Summer 22,0,2,1,1,3,1
DHS,IT Specialist/ CSP Program Manager,dhs.gov,"DC
",unknown,"Government (state/local/federal)
","The Department of Homeland Security has a vital mission: to secure the nation from the many threats we face. This requires the dedication of more than 240,000 employees in jobs that range from aviation and border security to emergency response, from cybersecurity analyst to chemical facility inspector. Our duties are wide-ranging, and our goal is clear - keeping America safe.","10,000+ employees",$5B+,unknown,NO,NO,NO,NO,NO,"Hybrid
",assessing high value assets/systems,no,no,no,no,no,no,no,no,Summer 22,0,0,1,0,0,0
Dana Foundation,CIO/CISO,dana.org,"NY
",7 figures,"Non-Profit
","Programmatic, grants, research","100-250 employees
","$50M-$100M
",2,3,3,0,Mix of Win and Mac,Dynamics,"AWS
","risk mananagement, user awareness, data privacy and protection",bi related,no,bi related,none,no,wifi possibly,no,training,Summer 22,1,0,0,1,1,0
